Model number,Label,Number of vertices,Number of faces,Number of edges,Type of faces,Bounding box,Barycenter,Diagonal,Surface,Bounding box volume,Convex hull volume,Compactness,Diameter,Eccentricity,A3,D1,D2,D3,D4
428,building,1081,1654,4962,triangles,"[[-0.4714410082, -0.413611465, -0.1112495291], [0.5285589918, 0.4579846607, 0.139732121]]","[2.507553527918067e-13, 2.064528745196084e-11, -3.704267487485431e-12]",1.3500635522160316,5.260594030010162,0.20191472572773422,0.16560384495662028,46.93654931883975,1.264107716687718,21.819738214184532,"[0.3404385911397099, 0.42538735112164133, 0.4183082877898137, 0.4002888538542525, 0.32145383038617226, 0.28638028933302634, 0.2722221626693711, 0.21462432919677366, 0.16667976390394115, 0.12613603754892844, 0.09749800861562581, 0.07433016498418998, 0.058884935896566085, 0.015123453481631728]","[0.11302662100729158, 0.10261627433556736, 0.3024577506231306, 0.6958201355761388, 0.6331721564980841, 0.011897539053399114, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.13771684647854085, 0.2711831730040403, 0.31822226048436497, 0.4412039711256957, 0.44545449107873714, 0.36837839593025334, 0.42590209929474676, 0.2884686208130753, 0.10994678278533715, 0.02720332769946486, 0.0, 0.0, 0.0, 0.0]","[0.06307233788686087, 0.22023619622789123, 0.4081607439481693, 0.5598962453399207, 0.5081976077277396, 0.3580130654643537, 0.22230414173237847, 0.15457892646042132, 0.08762919075264686, 0.002843425068669957, 0.0, 0.0, 0.0, 0.0]","[0.11419028892831476, 0.4224011949005949, 0.6454323177804024, 0.564367500054716, 0.2674727488410976, 0.04361863288793284, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
429,building,1017,1955,5865,triangles,"[[-0.2727480139, -0.4632568655, -0.4993172377], [0.4184780276, 0.5367431345, 0.4899166898]]","[-2.8092195287068845e-12, -4.9296593251286006e-12, -1.3544041224426898e-11]",1.567283383362701,9.812512712972335,0.5269475266159143,0.3707070832951386,60.789217775108334,1.3736135001776022,12.388966347826202,"[0.3593287858162747, 0.3586989369366668, 0.2894155601798041, 0.44876732672058844, 0.3319303595533335, 0.3152393642437256, 0.370036216769608, 0.2610723605974511, 0.15305327774470595, 0.10361014069549024, 0.07495201667333337, 0.04125510161431374, 0.026768577383333346, 0.015116373110588242]","[0.0, 0.0, 0.10131523733313882, 0.4495536692682132, 0.7915143928659503, 0.4014245720152936, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.17824416651559952, 0.1963802979257718, 0.20544836363085794, 0.30803085691964494, 0.20488160952429008, 0.17824416651559952, 0.4633214821192452, 0.6472331897005236, 0.18447846168784623, 0.22160085566804266, 0.04590708263199861, 0.0, 0.0, 0.0]","[0.05554155667524372, 0.198999160280285, 0.3789894455487219, 0.40096845728117125, 0.37542528148400034, 0.346614955294168, 0.4336399612077852, 0.2456303067937249, 0.28929131658656354, 0.2444422521054844, 0.0005940273441202537, 0.0, 0.0, 0.0]","[0.10026976528849181, 0.35758856054691057, 0.45809993972766383, 0.5284095823757388, 0.5020736681192434, 0.3264203684451866, 0.11718273774679164, 0.025369458687449737, 0.0007248416767842782, 0.0, 0.0, 0.0, 0.0, 0.0]"
430,building,1080,1678,5034,triangles,"[[-0.4682080384, -0.3852139192, -0.1688535017], [0.5317919616, 0.374761243, 0.2658610511]]","[-3.679399742315736e-12, -5.181080999573904e-12, 4.450299770533658e-13]",1.3291121057220945,5.811062656861539,0.2543797543656113,0.15995447976605992,67.8143316277853,1.1289032234628933,9.516813667631894,"[0.28251629471967443, 0.49289400799799216, 0.4569836128311494, 0.36196407163746813, 0.2914144457344673, 0.2815629213966609, 0.24914822841420106, 0.21387341546270067, 0.16239125601997034, 0.13823913183696104, 0.10646002106984356, 0.07849440359478017, 0.046397501719991525, 0.015571764275887566]","[0.1838494558376323, 0.4767816440752779, 0.6012011402573669, 0.6128954226411997, 0.042367809947984086, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.13604865941967298, 0.4496038884849788, 0.5787428962003252, 0.488440896340332, 0.3812221629973323, 0.21729663290847942, 0.11412838504732636, 0.015963678075513292, 0.0009530554074933308, 0.0002382638518733327, 0.0, 0.0, 0.0, 0.0]","[0.07836640939303223, 0.35078297537833475, 0.6401996619197976, 0.60495550954727, 0.294806968669026, 0.08852501801805492, 0.01534157220921795, 0.00020731854336781012, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.19326505018433654, 0.6672245780173524, 0.6626230292034395, 0.27719730055010555, 0.03938925784709335, 0.0009203097627825549, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
431,building,966,1255,3765,triangles,"[[-0.4854354077, -0.2884396204, -0.0356190121], [0.5145645923, 0.2983745286, 0.1195230486]]","[-6.464404298244099e-12, 5.66127822267042e-12, 5.329415818249561e-12]",1.169794812975693,1.3323573935852004,0.0597440756213009,0.03666026874737098,15.560320810343574,1.048136083493463,21.715026458162935,"[0.371946333621971, 0.430062948250404, 0.4064934323177617, 0.3751750344346617, 0.3264216521630319, 0.2750853092412494, 0.27831401005394013, 0.22084313558804528, 0.16175791071580511, 0.1294709025888979, 0.09653815429945255, 0.08104039039853708, 0.05488791381574225, 0.02066368520122061]","[0.1390940150444769, 0.9655005040313939, 0.21527771513344984, 0.02281363069814979, 0.03995841982888054, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2895171808801175, 0.5780380879099937, 0.6963954213186584, 0.29908140984243387, 0.07551755784828942, 0.04303903033042352, 0.00876720988212331, 0.0017932929304343135, 0.00039850954009651413, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.28011409892747174, 0.6697889542902853, 0.6398574074290836, 0.24905305973188516, 0.03802624192429388, 0.005270964227129845, 0.0003764974447949889, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5017980499852926, 0.8475864139063393, 0.17251217979092429, 0.0059592338457449484, 0.00015280086783961406, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
432,building,1082,1826,5478,triangles,"[[-0.4803314647, -0.4113895128, -0.1455008546], [0.5196685353, 0.5024356854, 0.2053175061]]","[-2.287626071152642e-12, 8.764814132900168e-12, -5.15043946158674e-12]",1.3993391351168254,1.4839373812699024,0.22107679687746187,0.07833293131330854,4.708749580381601,1.0087729660426856,6.192699690694002,"[0.40239021592946633, 0.44519078684218955, 0.41860255339640695, 0.3391620998083979, 0.30154947688509565, 0.2940918016503029, 0.23216067252658976, 0.19746627034733683, 0.18514489387246194, 0.14720802419982087, 0.10473170003643643, 0.08916785606817344, 0.06257962262239081, 0.023021519203055688]","[0.00883345302668684, 0.9773671246102685, 0.21115582919956896, 0.008349428203306739, 0.0043562234104209075, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5428084602717138, 0.6869919575313879, 0.4553559861168266, 0.15718828328701714, 0.03618723068478092, 0.005842729954313586, 0.0003769503196331346, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5830729157176058, 0.7325654665982634, 0.3454092079444165, 0.06340008530975749, 0.006755746795302027, 0.0010393456608156965, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.7953141647659998, 0.5990542753891813, 0.09276928003168282, 0.0017868882189088183, 0.00014890735157573485, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
433,building,1097,1778,5334,triangles,"[[-0.4810669772, -0.4948570623, -0.0289320923], [0.5189330228, 0.4497976651, 0.1492235565]]","[1.4553173592446244e-12, -1.3477725150026249e-11, 7.821520555047185e-12]",1.3871236387570205,4.481341653486405,0.11254429655753355,0.06410918526590129,193.61155694602206,1.1340084851531944,28.981450702870827,"[0.3822740283043471, 0.4967005351044777, 0.40880307876359523, 0.36213752012443584, 0.2857466398863598, 0.24387548795670302, 0.2493091488941394, 0.20264359025497997, 0.15533877738788684, 0.1316863709543403, 0.11091060854649534, 0.07734976157997658, 0.06456467702130277, 0.02493091488941394]","[0.19752717152384863, 0.8520968878906836, 0.48016767711894914, 0.06503943452614529, 0.011080792548898826, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2718839105552714, 0.6178234233734935, 0.6178234233734935, 0.372566246216137, 0.1483192258805727, 0.042228334998255616, 0.008944918250862027, 0.00020802135467120993, 0.00020802135467120993, 0.00020802135467120993, 0.0, 0.0, 0.0, 0.0]","[0.18668196693709063, 0.7220335108188757, 0.6133046258308368, 0.25339358789585353, 0.0582344536546107, 0.00866145354989463, 0.0005528587372273168, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.43162416230202877, 0.8815093468552971, 0.19136343978985051, 0.0046784437172597525, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
434,building,897,1664,4992,triangles,"[[-0.503103839, -0.4944288235, -0.4681706184], [0.496896161, 0.4162022718, 0.5064855901]]","[-1.0083294641617309e-11, 3.1738703138193804e-12, -2.7409262348547414e-12]",1.6670943933967488,3.0412653104662994,0.4507289562934953,0.3617650205718842,1.9004541967690554,1.235696784714072,2.6176409005298202,"[0.32777544846944057, 0.3453633993629227, 0.4003657185207215, 0.41603498386218746, 0.37286455894182213, 0.3325721623494811, 0.28748305187709955, 0.2328005136446368, 0.15573331063865126, 0.12823215105975186, 0.0873001926167388, 0.05756056656048712, 0.04029239659234098, 0.013430798864113662]","[0.0, 0.0, 0.4774048330375244, 0.8197532835224407, 0.3162137418419237, 0.00990197035541958, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.35188724197482263, 0.22003189839542825, 0.2795442480855069, 0.5263294045984934, 0.3996609171847481, 0.4010258793336031, 0.3568011057107007, 0.15287576067176156, 0.03658098558931437, 0.005186856165649053, 0.0, 0.0, 0.0, 0.0]","[0.19997877128645952, 0.4487459291334226, 0.4522308138877443, 0.3476842712580938, 0.4061231079074882, 0.43185764147786365, 0.26485124132844773, 0.10535074680372465, 0.02358998910617753, 0.00026806805802474467, 0.0, 0.0, 0.0, 0.0]","[0.2954848821845411, 0.6152847429187506, 0.5245088229999887, 0.3837135186361948, 0.28784303178321674, 0.16511028291346222, 0.04052496424944725, 0.00324199713995578, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
435,building,1058,2487,7461,triangles,"[[-0.5119218434, -0.3954611848, -0.0968459428], [0.4880781566, 0.3279920359, 0.2535105075]]","[-6.564472507905812e-12, -2.3941664536417917e-11, -2.392587036742636e-12]",1.2830176167177203,1.3526228128208768,0.12431079707144699,0.060684994030455575,5.941760233253024,1.0097568670536798,10.637614556246788,"[0.5422266057516427, 0.495406572116145, 0.32141320387611966, 0.2271404334478877, 0.212271909252831, 0.2350492229133434, 0.28186925654884115, 0.23916179343538035, 0.13951104617063853, 0.12590792829005473, 0.12147900618939955, 0.10914129462328866, 0.06959734729601016, 0.043340166270697235]","[0.16412822344095082, 0.48338052331983594, 0.8582373801296302, 0.04407293006739681, 0.029855855852107514, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5562291129582378, 0.5161580904125704, 0.5599113150300019, 0.289161162694411, 0.15118688506419392, 0.054799830832723585, 0.03465601949895563, 0.0036822020717640356, 0.00021660012186847268, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.517786583670744, 0.7253590976846606, 0.4042703650693834, 0.20013195514760887, 0.0455972710012188, 0.01354563280789345, 0.0011447013640473339, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.8386341475344392, 0.5128023666149308, 0.18150360950549793, 0.027959678228471712, 0.0010933952379849272, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
436,building,1064,1708,5124,triangles,"[[-0.5385867654, -0.2044086025, -0.1451045123], [0.4614132346, 0.298440239, 0.2315080512]]","[-1.4424719743065594e-11, -5.433166559591624e-12, 4.168917565860454e-12]",1.1809716255625846,1.2013601700402083,0.14281497350147931,0.08337464739846347,2.2054605497779463,1.0226776097777084,10.994432468448526,"[0.4422868324403013, 0.4325733588142332, 0.39728107130618573, 0.37234982233261094, 0.3088884613089659, 0.23312336702563466, 0.21337263731929618, 0.21563911449871206, 0.17872791471965324, 0.14246427984899895, 0.11332385897079462, 0.08839260999721982, 0.07382239955811765, 0.02557881388197936]","[0.10237299091971386, 0.4056791893429257, 0.6838210771490011, 0.5831638346804556, 0.13135007587277997, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.29245150859672747, 0.27092588994366884, 0.4572338306994521, 0.6554179748500263, 0.35529641822749636, 0.23777148879987742, 0.10243225428007206, 0.095504468966444, 0.0071752062176862075, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.22970356149478718, 0.5298187674678759, 0.4490185197058905, 0.5092724187512568, 0.42708702388478015, 0.15167360794178408, 0.012004608238923551, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4142021226154398, 0.7058800186635239, 0.5062903948125607, 0.2657292939247428, 0.056774761036784256, 0.002146124987644766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
437,building,1112,1904,5712,triangles,"[[-0.494385942, -0.2924622026, -0.3496082193], [0.505614058, 0.3118174696, 0.2270977867]]","[-7.373653327010447e-12, -6.74030057997712e-12, -3.333002636702072e-12]",1.3029749573919722,7.541548838345582,0.27658933372731337,0.23740382598663404,67.29051351980169,1.170823777312683,6.110119460272375,"[0.1956639660071405, 0.42233648447183103, 0.4846636749115065, 0.4183053726523495, 0.3593891229830045, 0.2936509917729985, 0.25302978805360804, 0.21085815671134, 0.14977130836996652, 0.124654380879351, 0.0827928350616585, 0.058606164144769504, 0.034109407703305006, 0.013023592032171]","[0.06629271844071034, 0.3019787494087009, 0.710719609329476, 0.56483708648175, 0.28328574449954713, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.055780768092985725, 0.2884090834583522, 0.4817657369824686, 0.5385470569694989, 0.4780136673798014, 0.34018764397515955, 0.18660292823931546, 0.10981057037139341, 0.021762003695469767, 0.0005002759470222935, 0.0, 0.0, 0.0, 0.0]","[0.025150685333219982, 0.16626161012314447, 0.44670288021037613, 0.6049518826167426, 0.5444121798677528, 0.3133819907006525, 0.10638962468388628, 0.0173606500530191, 0.0011128621828858398, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.07777840454794333, 0.3952738405487787, 0.6722846198233768, 0.5721698529437165, 0.23871987242022605, 0.03709431601517297, 0.0009971590326659401, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
438,building,1005,2024,6072,triangles,"[[-0.3658865308, -0.3725886225, -0.5081887444], [0.3657582101, 0.4266536936, 0.4918112556]]","[2.1235319120297104e-13, 1.1433445859539257e-11, -1.1154232568135578e-11]",1.47448035142267,2.3936474177668936,0.23684930925393546,0.20055345162541874,3.0148650945661943,1.035851116900414,3.9315902833982075,"[0.21099615609284073, 0.3765802551642355, 0.4402189201058536, 0.40253000203363315, 0.3827587663236159, 0.34568769936733346, 0.30336489792557775, 0.2493029252809992, 0.1433414588976253, 0.10534361526743585, 0.06487436717349422, 0.037688918072220454, 0.017299831246265125, 0.009267766739070604]","[0.0, 0.03877721629908053, 0.5449852182188605, 0.8331089532783076, 0.08612149201307419, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.11020209759194656, 0.27587671172455835, 0.42000619666503675, 0.4876133261989725, 0.5131207780011534, 0.4432848419990659, 0.19142971109792065, 0.03367974218540389, 0.001238225815639849, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.04087110379892341, 0.2107487642815995, 0.4144192927097542, 0.5587239720445005, 0.5667155286532286, 0.3685249247567731, 0.113708434032759, 0.00958986793047365, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.14338074247532206, 0.4045913145548116, 0.6432072777317099, 0.559586108335204, 0.29014011805757367, 0.06862848498450615, 0.0021116456918309585, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
439,building,1154,2128,6384,triangles,"[[-0.1512586628, -0.487947795, -0.3241835449], [0.1423370182, 0.512052205, 0.3204175692]]","[-3.1508316391748e-12, 1.0473671920083684e-11, 4.3012109898116634e-12]",1.2254423773482028,1.6473427793818882,0.09203486209949473,0.04280919427126252,21.568773445180934,1.150327307433213,16.51782456019166,"[0.34191532475915215, 0.46888482330307857, 0.4024997555364571, 0.353516598737785, 0.3280582475068962, 0.29615474406565584, 0.26489575584545055, 0.2213909784255773, 0.15500591065895586, 0.1353481964173835, 0.10376695058666069, 0.07347473519800819, 0.04930541440918971, 0.02835866972554702]","[0.5600893965694993, 0.8126370116795921, 0.11800831529123583, 0.09885856093745693, 0.04713785687084039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3846890566534112, 0.8037078353437154, 0.3746843948026596, 0.21774852263400635, 0.1294720945391389, 0.03766460932047677, 0.008042963448643478, 0.004119566644427147, 0.0013731888814757158, 0.00019616984021081653, 0.0, 0.0, 0.0, 0.0]","[0.309176678500031, 0.8430976507765717, 0.4190088470096737, 0.12734926077593345, 0.041515508671108974, 0.009108887978471168, 0.0017517092266290707, 0.0005255127679887212, 0.00017517092266290706, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5837130019232972, 0.8039450344565505, 0.1135123293111765, 0.00815115130691959, 0.00015094724642443684, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
440,building,981,2046,6138,triangles,"[[-0.4827501805, -0.4331646897, -0.2952257286], [0.5172498195, 0.5216226409, 0.3129579862]]","[-1.037723940517132e-12, -3.677350085767395e-15, 9.512307456360885e-12]",1.510465583064441,3.5877167011662676,0.3170620870768589,0.20464741210933202,9.74966153587986,1.2171887858895882,10.230217406267013,"[0.34863260460904577, 0.44676622664714755, 0.4225556291048527, 0.34314486916612563, 0.34314486916612563, 0.2944008661143053, 0.2372638559144895, 0.22015503365126782, 0.18141807758359604, 0.1423583135486937, 0.11265998056347869, 0.07037213685627035, 0.0471299632156673, 0.018077246164913484]","[0.0, 0.743863996676374, 0.5891919041828232, 0.26196548680969706, 0.12148856847824796, 0.12701915581413178, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2636474644241064, 0.4566936809638918, 0.48795622615252104, 0.49785603212892027, 0.32070160939335474, 0.28266551274718915, 0.22404824051850938, 0.052885805610764426, 0.013807624124977904, 0.004949902988199626, 0.0, 0.0, 0.0, 0.0]","[0.18454469771456322, 0.4478441390397999, 0.6069992477694296, 0.49392154127171634, 0.33970329706693486, 0.17184990322209645, 0.08792320629967726, 0.017631659017314956, 0.00047017757379506556, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.30949897627316647, 0.6671953478218196, 0.5831486502753097, 0.33300018553972605, 0.08962325567755786, 0.008763162777361212, 0.000398325580789146, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
441,building,993,1080,3240,triangles,"[[-0.3191715483, -0.4743655041, -0.3050300507], [0.282303325, 0.5256344959, 0.3965375864]]","[6.4676642780934e-12, 6.616515445586997e-13, 2.2666470348251432e-12]",1.361605365969644,4.9787382377333,0.3140572950186606,0.2054145783803013,25.86086110815972,1.1836682138793704,6.997031155034478,"[0.20697218082149318, 0.443690741640024, 0.45527617384939656, 0.4098738043802339, 0.3557040808066812, 0.296837560391491, 0.27523229491995843, 0.19382114966490815, 0.16407476966787055, 0.12587415535588542, 0.09143097851721031, 0.06857323388790773, 0.03381693725979011, 0.010019833262160034]","[0.07897756450503593, 0.49191740177422383, 0.4005290771326822, 0.7542357410230931, 0.14986933073931819, 0.004889087326502224, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0743387422423336, 0.30402322824024136, 0.5371653301563972, 0.5482790956079089, 0.44726731628194727, 0.2620378920900862, 0.1857233693230394, 0.09755416340771352, 0.012842573410635704, 0.0004939451311782963, 0.0, 0.0, 0.0, 0.0]","[0.03737545549247292, 0.20130289186296818, 0.4924380188569678, 0.6670753810703354, 0.45965253158286873, 0.22971698083385403, 0.07868516945783773, 0.01879701270381679, 0.000655709745481981, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.10707632461224365, 0.4599951665787011, 0.6997359080818495, 0.508218878950024, 0.16868457756009705, 0.023816608967061545, 0.0007873259162664973, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
442,building,987,1426,4278,triangles,"[[-0.4864320061, -0.3781846989, -0.1128343814], [0.5135679939, 0.418927644, 0.1902779961]]","[5.92931673051045e-12, 1.2963834382941577e-12, 5.9364035151615276e-12]",1.3142546178717538,3.1062491837223565,0.21202398295463712,0.08217801735519936,39.241462428969676,1.0434075284355482,6.7911086269037275,"[0.22574431430363132, 0.44175556359556223, 0.48759516010228016, 0.4059630019396318, 0.3237029040988093, 0.2891662217992273, 0.24740823320064181, 0.20627818428023056, 0.1554150703481189, 0.13908863871558924, 0.09576080092156822, 0.06687557572555419, 0.04364180763310814, 0.01130291420713592]","[0.47922300260473294, 0.855140447761739, 0.19082832139649544, 0.04639184755754401, 0.022637946230829036, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.29013756045677075, 0.7968204022436741, 0.49564399991790764, 0.1790132189755472, 0.052618479575546245, 0.01986991536419229, 0.004967478841048072, 0.000735922791266381, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1994725493687827, 0.82353666810826, 0.5182933803767026, 0.11415193791608488, 0.01827101502621623, 0.0023467358749268553, 0.00016762399106620395, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4361247747864155, 0.881890995371218, 0.17881869004196033, 0.009340150617187482, 0.00030129518119959616, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
443,building,981,1668,5004,triangles,"[[-0.5032872019, -0.3353968552, -0.2671367382], [0.4967127981, 0.2970646251, 0.2195772733]]","[-2.2295015075951147e-11, -6.676131419506518e-12, 3.1656181128397397e-13]",1.279413167453614,1.7227841752491362,0.25268401340018953,0.19221290509145475,1.2237005714057607,1.093280738440687,9.790062835223008,"[0.26482473026019704, 0.42871864934595816, 0.43726138258015806, 0.3866377782293438, 0.34044373925922583, 0.2974136755610337, 0.2774806313479006, 0.25628199702599713, 0.18066298802696834, 0.12624261334984302, 0.07656820158060655, 0.05663515736747344, 0.024362609593829358, 0.010441118397355438]","[0.0, 0.11490054886566921, 0.5911213307117166, 0.7035201568960182, 0.377402735932027, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.10710209587798347, 0.320232582412116, 0.3878760113876845, 0.4493456353377051, 0.5293366743643695, 0.3390224237942184, 0.28211604703699406, 0.24104682230182747, 0.028184762073153548, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0464464037337711, 0.18602138348195632, 0.4097657344634221, 0.5264711651650297, 0.5215200256807191, 0.4540902212753458, 0.19946019065365658, 0.013910344265444135, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.11940649325321273, 0.41637064891761527, 0.6363517621380055, 0.5732339450804147, 0.27689062040346385, 0.046562324058878446, 0.0006208309874517126, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
444,building,946,2292,6876,triangles,"[[-0.4525511269, -0.4750296874, -0.124859787], [0.4971480358, 0.5249703126, 0.2173327751]]","[1.8074182671850365e-12, 5.100402125277895e-12, 1.6194075590770084e-11]",1.4209237309544955,4.89124056965902,0.21206191724271764,0.12107975816529148,70.57674219771187,1.1670927065335426,17.183262154566876,"[0.33446391027827344, 0.4997846430729629, 0.4325733239599003, 0.36249517133016684, 0.3083438715708273, 0.26948235056706604, 0.21310129140587136, 0.18984808621509616, 0.16818756631136036, 0.14047484231687485, 0.10639137717423174, 0.09110159841865352, 0.05255861447230011, 0.016563926985209733]","[0.13041015064223507, 0.5736840987420356, 0.48326103589302827, 0.6140730668145923, 0.20797304455271695, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.14825217222881337, 0.3696219123936061, 0.499720757410728, 0.5524158322335545, 0.42156059858261213, 0.2763339808890807, 0.16287568581600922, 0.07563886338204763, 0.0138671249533754, 0.0010085181784273017, 0.0, 0.0, 0.0, 0.0]","[0.06917722831141063, 0.36768475369376774, 0.6163668799064915, 0.5638722629241992, 0.36101170916212044, 0.16526906956713214, 0.0653958364101438, 0.01557043724051043, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.17855824984683677, 0.6533524318720015, 0.6700574656414561, 0.29920571595956436, 0.05234243914429103, 0.002598560808581824, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
445,building,979,1746,5238,triangles,"[[-0.4614934613, -0.4825979789, -0.1887533259], [0.382165068, 0.5174020211, 0.2138929017]]","[2.1712805238130167e-12, 1.884277200699151e-11, 5.118125266222637e-12]",1.3688987174590932,2.2722113031333144,0.19108876106924633,0.11253158518192533,8.191150415359603,1.008520265112278,9.277906999498995,"[0.28935610735940714, 0.4156901961293357, 0.4472737183218179, 0.39463451466768096, 0.3404001836300854, 0.315197170971438, 0.2549013558766994, 0.22267978273083372, 0.15887468739248595, 0.12888629258346251, 0.0960266684842134, 0.07018560487218255, 0.04083526101654258, 0.015313222881203466]","[0.1113361593936513, 0.5217978768984923, 0.7186243015408402, 0.4458868591300938, 0.009759987998794108, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.18059658114021016, 0.3220639030333748, 0.5941164451356145, 0.5718891736106655, 0.359803957810111, 0.2255141923468778, 0.05742045143945143, 0.003936079332543042, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.11294267014213258, 0.40507323041361015, 0.5866502924113464, 0.5907770438203859, 0.34143437973737006, 0.11381145991245668, 0.02128534937294037, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2354993559749791, 0.6459839136051932, 0.6622833917037002, 0.29582615997175177, 0.03334835748889919, 0.0005620509689140313, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
