Model number,Label,Number of vertices,Number of faces,Number of edges,Type of faces,Bounding box,Barycenter,Diagonal,Surface,Bounding box volume,Convex hull volume,Compactness,Eccentricity,A3,D1,D2,D3,D4
10,animal,1362,2628,7884,triangles,"[[0.025, 0.025, 0.025], [0.894109, 0.975, 0.222438]]","[0.43720756357850554, 0.49988188929964644, 0.09352546750509609]",1.3026251255541634,0.9996896843209652,0.1456936463765109,0.06005683564559494,2.449166819195572,19.93435021027654,"[0.6136036497095931, 0.5032063403476161, 0.37997213454819995, 0.28497910091115, 0.23106413587390537, 0.1976882051365635, 0.1643122743992216, 0.15404275724927025, 0.03851068931231756]","[0.8470417394114469, 0.38125166353157103, 0.36467550424758965, 0.06464702120752726, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5923552732360505, 0.5337062362819861, 0.5747605621498312, 0.168127239268318, 0.07428878014181492, 0.011729807390812882, 0.0, 0.0, 0.0]","[0.7140056805376112, 0.5701254426459011, 0.3920736482549099, 0.10611167544513617, 0.01258952081552463, 0.0035970059472927515, 0.0, 0.0, 0.0]","[0.923341430215613, 0.3772940465219815, 0.07134287425142924, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
11,animal,368,724,2172,triangles,"[[0.025, 0.025, 0.025], [0.975, 0.50912, 0.100962]]","[0.47716888170204985, 0.2726324759472907, 0.06502044489520636]",1.0689445260835568,0.5734841811422493,0.03029785453387543,0.010541260383798719,15.008140025870716,218.96809151008338,"[0.614385736601967, 0.49870641381080166, 0.38816839425479926, 0.27505972308121535, 0.23392929719991212, 0.1979401745537718, 0.18508691646586453, 0.13110323249665407, 0.04627172911646613]","[0.8267680638874287, 0.550681255549569, 0.1149118067135957, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5860950482608572, 0.7100426415486518, 0.38246685928805185, 0.0761392358767881, 0.01593611913700216, 0.0, 0.0, 0.0, 0.0]","[0.7314725096420428, 0.6482415019803662, 0.2112787117565638, 0.009603577807116537, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.9966344467225079, 0.08197426185163485, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
12,animal,278,500,1500,triangles,"[[0.025, 0.025, 0.025], [0.975, 0.377544, 0.563472]]","[0.4977643864920966, 0.19151513373995127, 0.3210895008105025]",1.147492643427399,0.5332444900501265,0.1648082873842789,0.06677499535274892,0.30067617963447296,7.457343729065155,"[0.46345686757878235, 0.6388189255815648, 0.36074480503429546, 0.33318791020528676, 0.24550688120389552, 0.19540343606024338, 0.18037240251714773, 0.0676396509439304, 0.020041378057460858]","[0.8506631302968515, 0.5055969575132963, 0.14402761994444047, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5034896483435446, 0.6428318019441566, 0.5648001959278139, 0.11518951364317256, 0.03158422148280538, 0.0, 0.0, 0.0, 0.0]","[0.4583156580376549, 0.7834603512870101, 0.41334883875848877, 0.0726387080663453, 0.0017294930491986978, 0.0, 0.0, 0.0, 0.0]","[0.7393843293413921, 0.6676864549810146, 0.08663493151878937, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
13,animal,491,1125,3375,triangles,"[[0.025, 0.025, 0.025], [0.553288, 0.177515, 0.975]]","[0.3153560656477373, 0.10217118741184807, 0.5040987097231041]",1.09765615571043,0.35439134159477437,0.06580509647041195,0.024425195740653584,0.6596610310741003,15.485536043059591,"[0.6504230850036854, 0.4660511868924045, 0.3456973089586517, 0.32009010088764045, 0.23302559344620224, 0.17668973568997753, 0.18181117730417978, 0.12291459874085393, 0.06401802017752808]","[0.850112908940413, 0.5253189404083615, 0.036715839921014515, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.8619945739196372, 0.4802324779130492, 0.16209739790755917, 0.007574644762035476, 0.0030298579048141905, 0.0, 0.0, 0.0, 0.0]","[0.9472492618448517, 0.3135355200496283, 0.06642701695966702, 0.0013285403391933403, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.9953769786994194, 0.09604514706748785, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
14,animal,891,1681,5043,triangles,"[[0.025, 0.025, 0.025], [0.975, 0.715939, 0.773575]]","[0.5486118569190951, 0.3391436729833249, 0.35028563554799036]",1.3929326015087737,0.5064176077124296,0.17439909673710932,0.07356885121281131,0.21217102254871595,5.600595562683043,"[0.48605708134518794, 0.6082211606137645, 0.35609529488925534, 0.298912108848645, 0.2755189872865771, 0.21833580124596677, 0.19234344395478026, 0.1247633149976953, 0.038988535936779777]","[0.9252614906453254, 0.3776030974847782, 0.036153488057053235, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.726474251550328, 0.6397554782796807, 0.2503391001963968, 0.016362032692574954, 0.0032724065385149907, 0.0, 0.0, 0.0, 0.0]","[0.7610499539243114, 0.6354843679649682, 0.1301594488602947, 0.004593862900951578, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.9575932090864286, 0.28765645806548845, 0.016401464714260305, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
15,animal,368,724,2172,triangles,"[[0.025, 0.025, 0.025], [0.975, 0.416924, 0.503842]]","[0.4538882273102435, 0.21072333886597874, 0.2414458524823089]",1.1337522139956333,0.6463916952415402,0.03627773199160034,0.012622272065275109,14.988558140685823,218.94050689329885,"[0.6698954273512876, 0.4871966744373001, 0.31718533492011725, 0.27912309472970315, 0.23091092382184533, 0.1750863048759047, 0.1674738568378219, 0.12941161664740783, 0.08119944573955001]","[0.8369706934844947, 0.5272613213467304, 0.1465454102310397, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4931155733189836, 0.7574113302417482, 0.42038989523956516, 0.07627327213207301, 0.02483315836858191, 0.001773797026327279, 0.0, 0.0, 0.0]","[0.7090771677893154, 0.6229749402720415, 0.3292143993307536, 0.027012463534831065, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.9921397562025528, 0.1251347440255472, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
16,animal,2666,5162,15486,triangles,"[[0.025, 0.025, 0.025], [0.975, 0.270136, 0.718665]]","[0.39335535894286744, 0.1317301532696766, 0.37156298750876104]",1.2015668065992002,0.35479160331216025,0.1500660496588571,0.08078002271140078,0.060514532673071234,5.08325626090816,"[0.4239042432563754, 0.5350498680126201, 0.4626759728225073, 0.3799629497480926, 0.2998347086447533, 0.22746081345464045, 0.17059561009098034, 0.06720433124796195, 0.01809347379752822]","[0.966528464883141, 0.2512461261499942, 0.0499928516318866, 0.014100547896173144, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.7831844149687573, 0.6105138352906061, 0.11408591871592134, 0.02929233048111494, 0.004625104812807622, 0.0, 0.0, 0.0, 0.0]","[0.847754537032323, 0.5249389157267043, 0.07561446985537014, 0.005816497681182319, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.9767574098357105, 0.21426418671641198, 0.005985033148503128, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
17,animal,1548,3000,9000,triangles,"[[0.025, 0.025, 0.025], [0.975, 0.293822, 0.654721]]","[0.5000000371872987, 0.16846634762962928, 0.3577094900033107]",1.1710310864895943,0.3394897071682608,0.16081871572889997,0.08814261659448877,0.044530296195647634,5.995034806402208,"[0.47281343275730486, 0.48303642589800333, 0.5137054053200988, 0.3322472770727007, 0.3271357805023515, 0.18912537310292193, 0.13801040739942952, 0.08178394512558787, 0.017890237996222347]","[0.508831401405597, 0.856750308349595, 0.08408040251146617, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.38773710741718764, 0.8337179863348112, 0.39106532293149826, 0.03827447841457217, 0.013312862057242494, 0.0, 0.0, 0.0, 0.0]","[0.5598113650114256, 0.6811327134659141, 0.4714200968517268, 0.02079794544934089, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.8436946272768884, 0.531484050917971, 0.07551139521238932, 0.0014521422156228716, 0.0, 0.0, 0.0, 0.0, 0.0]"
18,animal,4250,8324,24972,triangles,"[[0.025, 0.025, 0.025], [0.975, 0.423912, 0.786683]]","[0.49768869389840475, 0.2389436916828839, 0.3131279195087507]",1.2813242275993224,0.44223948527653245,0.2775950459632702,0.15817338384094454,0.030567038418524324,11.347586254412272,"[0.4326976682592276, 0.5777938923461542, 0.4456526882669889, 0.3549675482126598, 0.25650939615367385, 0.22282634413349445, 0.1528692360915834, 0.12177718807295627, 0.025910040015522613]","[0.5876284334735373, 0.2816058697809472, 0.7585452908550371, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3316135178414925, 0.5036380302217668, 0.694315802980625, 0.33368610232800183, 0.20725844865093282, 0.002072584486509328, 0.0, 0.0, 0.0]","[0.2601634339709247, 0.6303960130833944, 0.6384010418209614, 0.32820617824024345, 0.140088002907421, 0.0040025143687834564, 0.0, 0.0, 0.0]","[0.4366630278232632, 0.828326430641839, 0.34666377781388835, 0.05499954167239575, 0.0, 0.0, 0.0, 0.0, 0.0]"
19,animal,3334,5490,16470,triangles,"[[0.025, 0.025, 0.025], [0.975, 0.346508, 0.635714]]","[0.4987684196129944, 0.1935666902396058, 0.3330129159206056]",1.1742397471811281,0.7387228936473055,0.1788987990165558,0.09138857102930087,0.4267843919756312,9.634075770431151,"[0.47701329698847617, 0.5672590558781879, 0.3790321873367892, 0.37387528682880566, 0.30425712997102805, 0.20627602031934106, 0.15986391574748932, 0.0696181568577776, 0.04125520406386821]","[0.41798958088328897, 0.877318790645145, 0.2357889943444194, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2943115766184451, 0.7787374635991157, 0.5173302868510558, 0.1937703547922682, 0.04204451094549216, 0.0018280222150213981, 0.0, 0.0, 0.0]","[0.30974447567674235, 0.7940410868177262, 0.5150999291640853, 0.09069865862357648, 0.0017112954457278583, 0.0, 0.0, 0.0, 0.0]","[0.6015943517994765, 0.7868180580787046, 0.1377696988853763, 0.00459232329617921, 0.0, 0.0, 0.0, 0.0, 0.0]"
20,animal,1624,3042,9126,triangles,"[[0.025, 0.025, 0.025], [0.975, 0.418756, 0.928792]]","[0.46986145569617815, 0.2644732238371539, 0.41901028792238115]",1.3690813587219717,0.873662227061291,0.3224034232142866,0.18833954922974017,0.16622458264481763,2.823464363423399,"[0.5219133640046502, 0.49012168700944303, 0.4132918009376925, 0.3417605276984765, 0.3020209314544676, 0.21459381971764802, 0.2225417389664498, 0.10862156306695764, 0.03444098341147438]","[0.9486412451604231, 0.25485884198339726, 0.1854806016656947, 0.026901766653803047, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.766628919622307, 0.4910664508179754, 0.40451157279610206, 0.08478845193979431, 0.017664260820790482, 0.0017664260820790482, 0.0, 0.0, 0.0]","[0.8119958892626886, 0.5402522450472869, 0.21674790669561808, 0.042055563985716936, 0.006470086767033375, 0.0, 0.0, 0.0, 0.0]","[0.9280943778024715, 0.36577837242803285, 0.06960707833518535, 0.0013648446732389286, 0.0, 0.0, 0.0, 0.0, 0.0]"
21,animal,346,556,1668,triangles,"[[0.025, 0.025, 0.025], [0.975, 0.524133, 0.828255]]","[0.5000553587518798, 0.3149595571720193, 0.3394331242134783]",1.3404672120995722,0.9799269606337909,0.38088452401924994,0.2611473964535037,0.12199930181422887,2.9448220393371822,"[0.4314966527415836, 0.5770013379683967, 0.46160107037471737, 0.3487095042504658, 0.29853547486190957, 0.20069611755422492, 0.11790896906310715, 0.04766532791912842, 0.025087014694278115]","[0.5090729631027153, 0.7821518373498674, 0.35736247740985316, 0.037084785391588534, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3859532848486567, 0.6152324639666706, 0.6572669801383064, 0.19297664242432835, 0.05731979477950347, 0.001910659825983449, 0.0, 0.0, 0.0]","[0.37618035257665394, 0.6275789296644666, 0.6642794518670669, 0.1523071671407916, 0.012845182770910134, 0.001835026110130019, 0.0, 0.0, 0.0]","[0.6535866743985522, 0.692032949363173, 0.30589862254459094, 0.01838734889612295, 0.0016715771723748137, 0.0, 0.0, 0.0, 0.0]"
22,animal,333,620,1860,triangles,"[[0.025, 0.025, 0.025], [0.975, 0.42875, 0.684062]]","[0.4999890984848755, 0.26106257565079233, 0.385762473781162]",1.2246945669610851,0.9567827714612854,0.25279146837500005,0.14965151711106722,0.34580034177118457,6.798146150412873,"[0.6058949063404712, 0.43091663597490404, 0.370849468535978, 0.3342868448775013, 0.305559069145841, 0.23243382182888764, 0.185424734267989, 0.125357566829063, 0.020892927804843833]","[0.1886921244045004, 0.9685316035867363, 0.16230161749478006, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.7348725810516318, 0.5166489973383299, 0.389818196547693, 0.201437154196894, 0.02238190602187711, 0.0, 0.0, 0.0, 0.0]","[0.8738560182519306, 0.44568248654014675, 0.1782729946160587, 0.07481098881209607, 0.01910067799457772, 0.0, 0.0, 0.0, 0.0]","[0.9638277117317092, 0.2637844263686783, 0.03804583072625168, 0.0025363887150834452, 0.0, 0.0, 0.0, 0.0, 0.0]"
23,animal,462,878,2634,triangles,"[[0.025, 0.025, 0.025], [0.475631, 0.425936, 0.975]]","[0.2525534578692113, 0.26042436447952605, 0.5686681477039673]",1.125307946411559,0.5161578551360168,0.1492781189313574,0.08900508359616766,0.153484889107834,6.8963834898123295,"[0.42802508140708573, 0.6230424261901958, 0.43055777419647673, 0.3140539058844889, 0.255801971728495, 0.21527888709823836, 0.16209233852102653, 0.0759807836817312, 0.027859620683301438]","[0.7953264721864904, 0.5817952403543198, 0.17020605435897657, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4426162912658657, 0.8227455767059622, 0.3402070317180772, 0.10414500970961546, 0.02430050226557694, 0.0017357501618269244, 0.0, 0.0, 0.0]","[0.39823435118222905, 0.8745538692629344, 0.2764214908206061, 0.012493626703756205, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.7096339030176804, 0.7038527714248682, 0.03179622376046633, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
24,animal,163,284,852,triangles,"[[0.025, 0.025, 0.025], [0.975, 0.42875, 0.85625]]","[0.49981973390292384, 0.2632936184696627, 0.45570016402782765]",1.325326610688852,1.0721324839071622,0.31883632812499985,0.1683549223188,0.384451317065694,7.018155787342711,"[0.5062772529998524, 0.5428127248658211, 0.4097192202112207, 0.3549160124122676, 0.24530959681436143, 0.21399347807210253, 0.18789671245355344, 0.11221609215976108, 0.03653547186596873]","[0.634962863282985, 0.5632452947028131, 0.5282611149076074, 0.022739716866883763, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.44064911359495845, 0.558823194059061, 0.6429471157453712, 0.2683953691896565, 0.09013277323533242, 0.0020029505163407205, 0.0, 0.0, 0.0]","[0.37651394312944153, 0.7897609538812677, 0.4407968114686145, 0.19835856516087652, 0.029386454097907633, 0.001836653381119227, 0.0, 0.0, 0.0]","[0.6316713439071385, 0.7513060681319753, 0.18982042910340777, 0.02233181518863621, 0.0, 0.0, 0.0, 0.0, 0.0]"
25,animal,1249,2494,7482,triangles,"[[0.025, 0.025, 0.025], [0.817473, 0.502402, 0.975]]","[0.4212873888497323, 0.3306276210957184, 0.4046117611344651]",1.3260566071374933,0.373171964757986,0.35941178538869983,0.23670386168037486,0.008200946286218098,3.7672547466730197,"[0.4881159053105129, 0.44896222306635414, 0.5063876236911203, 0.3810958405098122, 0.2558040573285041, 0.2427528299137845, 0.15661472897663517, 0.08874834642009326, 0.04176392772710271]","[0.9601964374248069, 0.25741436407558654, 0.09806261488593772, 0.04630734591835948, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.6849056941940125, 0.6709989795910883, 0.2677042561062891, 0.09213198424437223, 0.022598411229751682, 0.0, 0.0, 0.0, 0.0]","[0.7938545783313182, 0.5709337977493925, 0.2068833143530102, 0.03207493245783104, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.926854203490046, 0.37262498456711574, 0.045737362726649584, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
26,animal,5266,10274,30822,triangles,"[[0.025, 0.025, 0.025], [0.845772, 0.424813, 0.975]]","[0.4397908169699841, 0.21735106561302933, 0.5902640349395843]",1.3175800207019686,0.7178595086568376,0.27172824562703796,0.13066652411129628,0.19157433276232552,6.051697874279133,"[0.3992417251120187, 0.5314746531745982, 0.5136740667046356, 0.38906996141489725, 0.2975240881408038, 0.17800586469962618, 0.1271470462140187, 0.07374528680413085, 0.03305823201564486]","[0.25684287595195265, 0.9528042172411147, 0.1615624542278412, 0.009666129740127252, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2680741656549027, 0.7278958247990762, 0.5826889850693372, 0.23828814724880243, 0.044679027609150455, 0.0, 0.0, 0.0, 0.0]","[0.2478241602247473, 0.7207843533297227, 0.6335223250815722, 0.13263828293718868, 0.010471443389778054, 0.0, 0.0, 0.0, 0.0]","[0.5612653424181541, 0.7844774958870453, 0.2636491377929657, 0.008087396864814899, 0.0, 0.0, 0.0, 0.0, 0.0]"
